city_state_code,city,state,county
"Auburn, AL",Auburn,Alabama,Lee
"Birmingham, AL",Birmingham,Alabama,Jefferson
"Decatur, AL",Decatur,Alabama,Morgan
"Dothan, AL",Dothan,Alabama,Houston County
"Hoover, AL",Hoover,Alabama,Jefferson
"Huntsville, AL",Huntsville,Alabama,Madison
"Madison, AL",Madison,Alabama,Madison
"Mobile, AL",Mobile,Alabama,Mobile County
"Montgomery, AL",Montgomery,Alabama,Montgomery
"Tuscaloosa, AL",Tuscaloosa,Alabama,Tuscaloosa
"Avondale, AZ",Avondale,Arizona,Maricopa
"Buckeye, AZ",Buckeye,Arizona,Maricopa
"Casa Grande, AZ",Casa Grande,Arizona,Pinal County
"Chandler, AZ",Chandler,Arizona,Maricopa
"Flagstaff, AZ",Flagstaff,Arizona,Coconino
"Glendale, AZ",Glendale,Arizona,Maricopa
"Goodyear, AZ",Goodyear,Arizona,Maricopa
"Lake Havasu City, AZ",Lake Havasu City,Arizona,Mohave County
"Maricopa, AZ",Maricopa,Arizona,Pinal County
"Mesa, AZ",Mesa,Arizona,Maricopa
"Peoria, AZ",Peoria,Arizona,Maricopa
"Phoenix, AZ",Phoenix,Arizona,Maricopa
"Scottsdale, AZ",Scottsdale,Arizona,Maricopa
"Surprise, AZ",Surprise,Arizona,Maricopa
"Tempe, AZ",Tempe,Arizona,Maricopa
"Tucson, AZ",Tucson,Arizona,Pima
"Yuma, AZ",Yuma,Arizona,Yuma
"Bentonville, AR",Bentonville,Arkansas,Benton County
"Conway, AR",Conway,Arkansas,Faulkner
"Fayetteville, AR",Fayetteville,Arkansas,Washington
"Fort Smith, AR",Fort Smith,Arkansas,Sebastian
"Jonesboro, AR",Jonesboro,Arkansas,Craighead County
"Little Rock, AR",Little Rock,Arkansas,Pulaski County
"North Little Rock, AR",North Little Rock,Arkansas,Pulaski County
"Rogers, AR",Rogers,Arkansas,Benton County
"Springdale, AR",Springdale,Arkansas,Washington
"Alameda, CA",Alameda,California,Alameda
"Alhambra, CA",Alhambra,California,Los Angeles
"Aliso Viejo, CA",Aliso Viejo,California,Orange
"Anaheim, CA",Anaheim,California,Orange
"Antioch, CA",Antioch,California,Contra Costa
"Arcadia, CA",Arcadia,California,Los Angeles
"Bakersfield, CA",Bakersfield,California,Kern
"Baldwin Park, CA",Baldwin Park,California,Los Angeles
"Beaumont, CA",Beaumont,California,Riverside
"Bellflower, CA",Bellflower,California,Los Angeles
"Berkeley, CA",Berkeley,California,Alameda
"Brentwood, CA",Brentwood,California,Contra Costa
"Buena Park, CA",Buena Park,California,Orange
"Burbank, CA",Burbank,California,Los Angeles
"Camarillo, CA",Camarillo,California,Ventura
"Carlsbad, CA",Carlsbad,California,San Diego
"Carson, CA",Carson,California,Los Angeles
"Cathedral City, CA",Cathedral City,California,Riverside
"Chico, CA",Chico,California,Butte
"Chino, CA",Chino,California,San Bernardino
"Chino Hills, CA",Chino Hills,California,San Bernardino
"Chula Vista, CA",Chula Vista,California,San Diego
"Citrus Heights, CA",Citrus Heights,California,Sacramento
"Clovis, CA",Clovis,California,Fresno
"Colton, CA",Colton,California,San Bernardino
"Compton, CA",Compton,California,Los Angeles
"Concord, CA",Concord,California,Contra Costa
"Corona, CA",Corona,California,Riverside
"Costa Mesa, CA",Costa Mesa,California,Orange
"Covina, CA",Covina,California,Los Angeles
"Cupertino, CA",Cupertino,California,Santa Clara County
"Daly City, CA",Daly City,California,San Mateo
"Davis, CA",Davis,California,Yolo County
"Delano, CA",Delano,California,Kern
"Diamond Bar, CA",Diamond Bar,California,Los Angeles
"Downey, CA",Downey,California,Los Angeles
"Dublin, CA",Dublin,California,Alameda
"Eastvale, CA",Eastvale,California,Riverside
"El Cajon, CA",El Cajon,California,San Diego
"Elk Grove, CA",Elk Grove,California,Sacramento
"El Monte, CA",El Monte,California,Los Angeles
"Encinitas, CA",Encinitas,California,San Diego
"Escondido, CA",Escondido,California,San Diego
"Fairfield, CA",Fairfield,California,Solano
"Folsom, CA",Folsom,California,Sacramento
"Fontana, CA",Fontana,California,San Bernardino
"Fountain Valley, CA",Fountain Valley,California,Orange
"Fremont, CA",Fremont,California,Alameda
"Fresno, CA",Fresno,California,Fresno
"Fullerton, CA",Fullerton,California,Orange
"Gardena, CA",Gardena,California,Los Angeles
"Garden Grove, CA",Garden Grove,California,Orange
"Gilroy, CA",Gilroy,California,Santa Clara County
"Glendale, CA",Glendale,California,Los Angeles
"Glendora, CA",Glendora,California,Los Angeles
"Hanford, CA",Hanford,California,Kings
"Hawthorne, CA",Hawthorne,California,Los Angeles
"Hayward, CA",Hayward,California,Alameda
"Hemet, CA",Hemet,California,Riverside
"Hesperia, CA",Hesperia,California,San Bernardino
"Highland, CA",Highland,California,San Bernardino
"Huntington Beach, CA",Huntington Beach,California,Orange
"Huntington Park, CA",Huntington Park,California,Los Angeles
"Indio, CA",Indio,California,Riverside
"Inglewood, CA",Inglewood,California,Los Angeles
"Irvine, CA",Irvine,California,Orange
"Jurupa Valley, CA",Jurupa Valley,California,Riverside
"Laguna Niguel, CA",Laguna Niguel,California,Orange
"La Habra, CA",La Habra,California,Orange
"Lake Elsinore, CA",Lake Elsinore,California,Riverside
"Lake Forest, CA",Lake Forest,California,Orange
"Lakewood, CA",Lakewood,California,Los Angeles
"La Mesa, CA",La Mesa,California,San Diego
"Lancaster, CA",Lancaster,California,Los Angeles
"Lincoln, CA",Lincoln,California,Placer County
"Livermore, CA",Livermore,California,Alameda
"Lodi, CA",Lodi,California,San Joaquin County
"Long Beach, CA",Long Beach,California,Los Angeles
"Los Angeles, CA",Los Angeles,California,Los Angeles
"Lynwood, CA",Lynwood,California,Los Angeles
"Madera, CA",Madera,California,Madera County
"Manteca, CA",Manteca,California,San Joaquin County
"Menifee, CA",Menifee,California,Riverside
"Merced, CA",Merced,California,Merced County
"Milpitas, CA",Milpitas,California,Santa Clara County
"Mission Viejo, CA",Mission Viejo,California,Orange
"Modesto, CA",Modesto,California,Stanislaus County
"Montebello, CA",Montebello,California,Los Angeles
"Monterey Park, CA",Monterey Park,California,Los Angeles
"Moreno Valley, CA",Moreno Valley,California,Riverside
"Mountain View, CA",Mountain View,California,Santa Clara County
"Murrieta, CA",Murrieta,California,Riverside
"Napa, CA",Napa,California,Napa
"National City, CA",National City,California,San Diego
"Newport Beach, CA",Newport Beach,California,Orange
"Norwalk, CA",Norwalk,California,Los Angeles
"Novato, CA",Novato,California,Marin
"Oakland, CA",Oakland,California,Alameda
"Oceanside, CA",Oceanside,California,San Diego
"Ontario, CA",Ontario,California,San Bernardino
"Orange, CA",Orange,California,Orange
"Oxnard, CA",Oxnard,California,Ventura
"Palmdale, CA",Palmdale,California,Los Angeles
"Palm Desert, CA",Palm Desert,California,Riverside
"Palo Alto, CA",Palo Alto,California,Santa Clara County
"Paramount, CA",Paramount,California,Los Angeles
"Pasadena, CA",Pasadena,California,Los Angeles
"Perris, CA",Perris,California,Riverside
"Petaluma, CA",Petaluma,California,Sonoma
"Pico Rivera, CA",Pico Rivera,California,Los Angeles
"Pittsburg, CA",Pittsburg,California,Contra Costa
"Placentia, CA",Placentia,California,Orange
"Pleasanton, CA",Pleasanton,California,Alameda
"Pomona, CA",Pomona,California,Los Angeles
"Porterville, CA",Porterville,California,Tulare County
"Rancho Cordova, CA",Rancho Cordova,California,Sacramento
"Rancho Cucamonga, CA",Rancho Cucamonga,California,San Bernardino
"Redding, CA",Redding,California,Shasta
"Redlands, CA",Redlands,California,San Bernardino
"Redondo Beach, CA",Redondo Beach,California,Los Angeles
"Redwood City, CA",Redwood City,California,San Mateo
"Rialto, CA",Rialto,California,San Bernardino
"Richmond, CA",Richmond,California,Contra Costa
"Riverside, CA",Riverside,California,Riverside
"Rocklin, CA",Rocklin,California,Placer County
"Rosemead, CA",Rosemead,California,Los Angeles
"Roseville, CA",Roseville,California,Placer County
"Sacramento, CA",Sacramento,California,Sacramento
"Salinas, CA",Salinas,California,Monterey
"San Bernardino, CA",San Bernardino,California,San Bernardino
"San Buenaventura (Ventura), CA",Ventura,California,Ventura
"San Clemente, CA",San Clemente,California,Orange
"San Diego, CA",San Diego,California,San Diego
